country,cluster_id,return_P,total_earthquakes,total_gaps,exact_mode,min_gap,max_gap,mean_gap,median_gap,std_gap
Japan,1,1.794,71,70,195,195,2086,655.2428571428571,474.0,471.84060370650855
Japan,2,5.597,23,22,185,185,9216,2044.1363636363637,1207.0,2169.7902976901737
Japan,3,,1,,,,,,,
Papua New Guinea,1,1.812,69,68,388,204,2696,661.8529411764706,470.5,529.4910504355569
Papua New Guinea,2,,0,,,,,,,
Papua New Guinea,3,,1,,,,,,,
Philippines,1,1.976,64,63,217,182,3964,721.6825396825396,578.0,576.4008698041757
Philippines,2,,1,,,,,,,
Philippines,3,,,,,,,,,
Tonga,1,3.734,34,33,238,238,5892,1363.7878787878788,921.0,1262.4788208862792
Tonga,2,,,,,,,,,
Tonga,3,,,,,,,,,
USA,1,2.655,48,47,205,205,2774,969.5957446808511,677.0,689.9299890344862
USA,2,14.829,9,8,252,252,21110,5416.375,3937.0,6390.581838485053
USA,3,22.319,4,3,2666,2666,14587,8152.0,7203.0,4912.773215472771
Mexico,1,2.921,43,42,759,192,3823,1066.7142857142858,815.0,817.5293000636643
Mexico,2,13.667,9,8,554,554,20429,4991.75,2676.5,6180.102178564688
Mexico,3,,0,,,,,,,
Canada,1,41.713,3,2,15004,15004,15467,15235.5,15235.5,231.5
Canada,2,,0,,,,,,,
Canada,3,,0,,,,,,,
Guatemala,1,22.111,6,5,3000,3000,12093,8076.0,7853.0,3150.4272091257717
Guatemala,2,,1,,,,,,,
Guatemala,3,,,,,,,,,
Russia,1,2.26,56,55,447,204,3267,825.5636363636364,615.0,692.8018151255974
Russia,2,34.264,4,3,4235,4235,19255,12515.0,14055.0,6227.8300126662625
Russia,3,31.947,3,2,229,229,23108,11668.5,11668.5,11439.5
China,1,17.345,8,7,1583,1583,13592,6335.428571428572,4432.0,4602.330647373687
China,2,37.357,3,2,7902,7902,19387,13644.5,13644.5,5742.5
China,3,,0,,,,,,,
India,1,22.987,4,3,306,306,23404,8396.0,1478.0,10623.0392386862
India,2,26.55,4,3,6583,6583,14428,9697.333333333334,8081.0,3400.52999137226
India,3,,1,,,,,,,
Iran,1,,0,,,,,,,
Iran,2,,0,,,,,,,
Iran,3,,1,,,,,,,
Nicaragua,1,14.715,8,7,182,182,12994,5374.571428571428,4420.0,4011.7408354244726
Nicaragua,2,,,,,,,,,
Nicaragua,3,,,,,,,,,
El Salvador,1,16.275,8,7,778,778,18291,5944.571428571428,4244.0,5357.224677470412
Costa Rica,1,11.221,11,10,393,393,10184,4098.4,2887.0,3341.047266950888
Costa Rica,2,,,,,,,,,
Dominican,1,1.714,2,1,626,626,626,626.0,626.0,0.0
Dominican,2,,0,,,,,,,
Chile,1,2.798,44,43,737,194,3229,1022.1395348837209,737.0,737.5322643756899
Chile,2,,0,,,,,,,
Chile,3,,0,,,,,,,
Argentina,1,57.306,2,1,20931,20931,20931,20931.0,20931.0,0.0
Argentina,2,6.557,3,2,2245,2245,2545,2395.0,2395.0,150.0
Argentina,3,16.345,7,6,1292,1292,12472,5969.833333333333,4202.0,4040.4190961114696
Peru,1,3.68,33,32,193,193,3325,1344.0,1211.0,867.7052711030399
Peru,2,,0,,,,,,,
Peru,3,,0,,,,,,,
Colombia,1,6.955,4,3,334,334,4411,2540.3333333333335,2876.0,1681.2666521273643
Colombia,2,49.443,2,1,18059,18059,18059,18059.0,18059.0,0.0
Colombia,3,,0,,,,,,,
Indonesia,1,1.434,89,88,188,188,2124,523.9431818181819,428.5,361.87288570443883
Indonesia,2,,0,,,,,,,
Indonesia,3,,1,,,,,,,
Timor Leste,1,14.531,9,8,1050,1050,16939,5307.5,4078.5,4681.791831126198
Timor Leste,2,,,,,,,,,
Timor Leste,3,,,,,,,,,
Australia,1,,0,,,,,,,
Australia,2,,0,,,,,,,
Australia,3,12.89,3,2,1119,1119,8297,4708.0,4708.0,3589.0
New Zealand,1,3.318,35,34,199,199,3713,1211.9705882352941,940.5,828.4681642253661
New Zealand,2,7.058,11,10,459,459,5508,2577.9,2932.0,1715.7623640819259
New Zealand,3,,,,,,,,,
Algeria,1,,0,,,,,,,
Algeria,2,,1,,,,,,,
Algeria,3,,0,,,,,,,
Somalia,1,,0,,,,,,,
Somalia,2,,0,,,,,,,
Somalia,3,,,,,,,,,
South Africa,1,,0,,,,,,,
South Africa,2,,0,,,,,,,
South Africa,3,,0,,,,,,,
Saint Helena,1,,0,,,,,,,
Saint Helena,2,,0,,,,,,,
